hours,remote,education,seniority,country,job_published_at,y_pred,comp_dol
Unclear,true,Bachelors,Unclear Seniority,United States,2023-01-25,0.324531421762154,0.2234751597055814
Full-Time,true,Bachelors,Director,United States,2023-05-12,1.535851477013192,1.8955466701370511
Full-Time,Unclear,Bachelors,IC,United States,2023-05-17,-0.05993670109270639,-0.6313704070859336
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-05-17,0.4401317614849217,0.342625148572432
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-02-13,-0.07582341830059793,-0.6979514208647296
Unclear,Unclear,Bachelors,Unclear Seniority,United States,2023-05-30,-0.03814437915526171,-1.365191358519093
Hourly,Unclear,Unclear,Unclear Seniority,United States,2023-04-24,-0.4526310132788235,-0.862537272152806
Unclear,Unclear,Some High School,Unclear Seniority,United States,2023-05-30,-0.8567885088830446,-0.9623055294973154
Full-Time,Unclear,Bachelors,Staff IC,United States,2023-05-18,0.853143746773787,0.7000751151729837
Full-Time,Unclear,No Education Requirement,Manager,,2023-04-14,0.42294574595202006,-0.4119914475842883
Full-Time,Unclear,Unclear,IC,United States,2023-05-02,0.28533417927153853,-0.6483850254961199
Full-Time,true,Unclear,Unclear Seniority,Austria,2023-01-12,-0.5865661635511215,-0.7352850840430095
Full-Time,true,Bachelors,Unclear Seniority,United States,2023-05-30,0.09348577226159747,-0.1339748068949703
Full-Time,false,Unclear,IC,Romania,2023-03-29,-0.3563266047921833,-0.301420257915851
Full-Time,Unclear,Unclear,Manager,,2023-04-07,0.7603182098023336,0.38234181152804886
Part-Time,Unclear,Unclear,Unclear Seniority,Australia,2023-05-26,-0.06046781550224749,-0.6607766243382723
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-02-01,-0.07582341830059793,-0.9203647334161841
Full-Time,true,Unclear,Manager,,2023-03-29,0.7189162646882856,0.62064178926175
Full-Time,false,Unclear,Unclear Seniority,United States,2023-02-06,0.14906280658454432,0.6603584522173668
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-05-31,0.06996487757964275,-1.5081713451593135
Full-Time,true,Unclear,Manager,,2023-05-15,0.7189162646882856,1.3355417224628534
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-16,0.24397590878850628,-0.5231981038600155
Full-Time,Unclear,Bachelors,Staff IC,United States,2023-03-22,0.853143746773787,0.2711351552523216
Full-Time,Unclear,Unclear,Director,India,2023-04-28,0.31520954615337243,0.021730398556230022
Full-Time,true,Bachelors,IC,United States,2023-05-08,0.15066238276157196,0.7397917781286005
Unclear,Unclear,Bachelors,Unclear Seniority,Austria,2023-01-20,-0.4506166087815457,-1.5161146777504368
Unclear,Unclear,Unclear,Unclear Seniority,,2023-06-02,-0.4487213911302157,-0.7678527476666154
Full-Time,Unclear,Unclear,Manager,Netherlands,2023-05-11,0.016278924904331686,0.38234181152804886
Full-Time,Unclear,Unclear,Senior IC,United States,2023-04-18,0.4376022631939808,-0.7309956844438029
Full-Time,Unclear,Vocational,Unclear Seniority,United States,2023-05-30,-0.05419711514393182,0.19508568902490647
Full-Time,true,Unclear,Staff IC,,2023-05-05,0.6382031013456823,2.4078916222645086
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-01-04,0.24397590878850628,0.46177513743928256
Full-Time,Unclear,Bachelors,IC,United States,2023-06-02,-0.05993670109270639,0.3982284767102956
Full-Time,true,Unclear,Senior IC,United States,2023-04-05,0.9183892236139644,2.0901583186195736
Gig,Unclear,Bachelors,IC,,2023-05-27,-0.3900512697544739,-0.6401239596013515
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-26,0.24397590878850628,0.04872184270086724
Full-Time,Unclear,Unclear,Senior IC,United Kingdom,2023-05-10,-0.6531176460503587,-0.491424773495522
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-04-12,0.24397590878850628,-0.00200427922604661
Full-Time,true,Unclear,Unclear Seniority,Germany,2023-05-08,-0.02494450828253817,-0.3325581216730546
Contract,true,Unclear,Manager,United States,2023-02-09,0.1886323898819486,1.2516601303005905
Full-Time,Unclear,Bachelors,IC,United States,2023-05-23,-0.05993670109270639,-0.5157313712243595
Full-Time,true,Bachelors,Unclear Seniority,United States,2023-05-09,0.09348577226159747,0.021730398556230022
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-04,-0.07582341830059793,-0.6649071572856564
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-01-26,0.06996487757964275,-1.0156847245096645
Full-Time,true,Unclear,Unclear Seniority,United States,2023-05-08,0.4191554814381107,0.5412084633505163
Part-Time,Unclear,Bachelors,IC,United States,2023-02-23,-0.9434329528502482,-0.6661780905002361
Unclear,Unclear,Bachelors,IC,United States,2023-04-25,-0.16758737617286013,-0.2928414587174377
Unclear,Unclear,Unclear,Unclear Seniority,Hong Kong,2023-05-22,-0.00746719179302945,-1.1726449765102622
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-24,-0.8468437669078466,-0.9292612659182422
Full-Time,Unclear,Unclear,Unclear Seniority,,2023-05-23,-0.224372256775447,-0.06289786686959838
Full-Time,Unclear,Bachelors,Manager,United States,2023-05-25,0.4020596103647615,-0.40819453460573135
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-06-02,-0.07582341830059793,-0.5370989358944814
Full-Time,Unclear,Unclear,Manager,United States,2023-04-03,0.12233765098215377,-1.028394056655462
Full-Time,false,High School,Unclear Seniority,United States,2023-05-16,-0.6638627819106533,-0.38816144981091816
Part-Time,Unclear,High School,Unclear Seniority,United States,2023-05-22,-0.9137027807585573,-0.9953497930763887
Unclear,Unclear,Unclear,Unclear Seniority,Canada,2023-03-27,-0.2506832984815789,-0.8631727387600958
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-09,-0.07582341830059793,-0.05454148098373659
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-15,0.24397590878850628,-0.2789406266829718
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-03-23,0.4401317614849217,0.9849865685513968
Unclear,Unclear,Unclear,Unclear Seniority,,2023-03-08,-0.4487213911302157,0.021730398556230022
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-06-02,0.4401317614849217,1.3042449920538273
Unclear,Unclear,Unclear,Unclear Seniority,Indonesia,2023-02-01,-0.00746719179302945,0.021730398556230022
Full-Time,Unclear,Bachelors,Manager,United States,2023-05-22,0.4020596103647615,0.7842744406388914
Full-Time,Unclear,Unclear,Junior IC,Canada,2023-05-15,-0.7093365764928363,-0.9521380637806776
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-05-08,0.4401317614849217,-1.2952900317172071
Full-Time,Unclear,Masters,Intern,Venezuela,2023-04-20,-0.35372548895713357,-0.5327301029693635
Unclear,Unclear,Unclear,Unclear Seniority,France,2023-05-02,-0.00746719179302945,0.021730398556230022
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-25,-0.8468437669078466,-0.9953497930763887
Unclear,Unclear,Bachelors,Senior IC,United States,2023-04-21,0.7305817280988962,0.7215221131690168
Full-Time,false,Bachelors,Staff IC,United States,2023-04-06,0.8874571571525177,1.8049926785982446
Unclear,true,Unclear,Contract,United Kingdom,2023-01-22,-0.934674349098984,-0.3325581216730546
Full-Time,Unclear,Bachelors,Unclear Seniority,,2023-05-02,-0.06518596782227044,-0.3924508494101248
Unclear,Unclear,Unclear,Junior IC,United States,2023-04-24,-0.49345226866146924,-0.2928414587174377
Full-Time,Unclear,Bachelors,Manager,United States,2023-04-21,0.4020596103647615,1.3355417224628534
Unclear,Unclear,Unclear,Unclear Seniority,Mexico,2023-01-31,-0.00746719179302945,-1.1586329378195208
Full-Time,Unclear,Unclear,Contract,United States,2023-04-27,0.2993453652109819,0.06460850788311398
Unclear,true,Bachelors,Exec,,2023-05-18,0.9195328631706299,-0.22532313169288906
Full-Time,Unclear,Some High School,Unclear Seniority,United States,2023-05-05,-0.45371502158140514,-0.9127391341287057
Full-Time,true,Unclear,Unclear Seniority,United States,2023-01-31,0.4191554814381107,0.6930214358320661
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-03-22,0.24397590878850628,0.09638183824760746
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-07,-0.07582341830059793,0.2234751597055814
Full-Time,Unclear,Unclear,Unclear Seniority,Dominican Republic,2023-05-03,-0.45812778088287404,-0.9680247289629242
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-30,-0.8468437669078466,-1.0614383202345352
Full-Time,Unclear,Doctorate,Manager,United States,2023-04-20,0.6624072536978395,0.6833941167316246
Temp,Unclear,Masters,Unclear Seniority,United Kingdom,2023-05-07,-1.0109669076518029,-1.1545341782025011
Full-Time,Unclear,Doctorate,Senior IC,United States,2023-05-22,0.8622025212485231,1.414975048374087
Full-Time,Unclear,High School,Senior IC,United States,2023-05-10,-0.4569457507471356,0.43295672679868696
Full-Time,true,Unclear,Senior IC,United Kingdom,2023-04-27,-0.8303856708680223,-1.5081713451593135
Unclear,Unclear,Bachelors,Unclear Seniority,New Zealand,2023-05-26,0.139100689950931,-0.17369146985058714
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-04-25,0.06996487757964275,-1.5161146777504368
Unclear,Unclear,Bachelors,Senior IC,United States,2023-05-24,0.7305817280988962,2.005958993153666
